co_owned,southj,centralj,pa1,pa2,wage_st,hrsopen,wage_st2,hrsopen2,emptot,emptot2,nj,pa,bk,kfc,roys,wendys,pmeal,pmeal2,closed
0,0,0,1,0,4.25,16.5,4.25,17.5,27,25.5,0,1,1,0,0,0,2.5999999046325684,2.6700000762939453,0
0,0,0,1,0,4.25,16.5,4.25,17.5,19.5,27,0,1,1,0,0,0,2.6500000953674316,2.630000114440918,0
0,0,0,1,0,4.5,16.5,4.25,16.5,24,16,0,1,1,0,0,0,2.6700000762939453,NA,0
0,0,0,1,0,4.25,16,4.25,17.5,18,19,0,1,1,0,0,0,2.6700000762939453,2.5900001525878906,0
0,0,0,1,0,4.5,17,4.25,18,NA,24.5,0,1,1,0,0,0,2.7699999809265137,2.7699999809265137,0
0,0,0,1,0,4.25,14,4.380000114440918,14,19,25,0,1,1,0,0,0,2.4800000190734863,2.640000104904175,0
0,0,0,1,0,4.5,12,4.75,13,14,17,0,1,0,1,0,0,5.400000095367432,4.25,0
0,0,0,1,0,4.25,13,4.25,13,10.5,16.5,0,1,0,1,0,0,4.25,4.239999771118164,0
1,0,0,1,0,4.670000076293945,12,4.5,12,38,20,0,1,0,0,0,1,2.559999942779541,2.690000057220459,0
1,0,0,1,0,4.75,12,4.5,12,23.5,18,0,1,0,0,0,1,2.6500000953674316,2.819999933242798,0
0,0,0,1,0,4.25,10.5,4.25,10.5,10.5,12,0,1,0,0,0,1,2.6100001335144043,2.7100000381469727,0
0,0,0,1,0,4.25,11.5,4.25,12,25,25,0,1,0,0,0,1,2.5399999618530273,2.680000066757202,0
1,0,0,0,1,4.75,10,4.25,11,11,11,0,1,0,1,0,0,4.019999980926514,4.319999694824219,0
0,0,0,1,0,4.25,15,4.25,16,36.5,27,0,1,1,0,0,0,2.5,2.390000104904175,0
0,0,0,1,0,4.5,16,5.050000190734863,16,52.5,34,0,1,1,0,0,0,2.4700000286102295,2.4700000286102295,0
0,0,0,1,0,4.25,16,NA,16,29,25,0,1,1,0,0,0,2.4800000190734863,2.4200000762939453,0
0,0,0,1,0,4.25,16,4.25,16,45,37.5,0,1,1,0,0,0,NA,2.549999952316284,0
0,0,0,1,0,4.25,15.5,4.25,15.5,22.75,21,0,1,1,0,0,0,2.490000009536743,2.4700000286102295,0
0,0,0,1,0,4.25,8,4.25,9,7.5,9.5,0,1,0,1,0,0,4.28000020980835,4.220000267028809,0
0,0,0,1,0,4.25,11.5,NA,11.5,15.5,18,0,1,0,0,0,1,3.690000057220459,3.5999999046325684,0
0,0,0,1,0,4.25,11.5,4.25,11.5,38,18,0,1,0,0,0,1,2.5,3.609999895095825,0
0,0,0,1,0,4.25,11.5,4.349999904632568,11.5,17.5,19,0,1,0,0,0,1,3.4800000190734863,3.609999895095825,0
0,0,0,1,0,4.25,12.5,4.5,11.5,25,31.5,0,1,0,0,0,1,2.5299999713897705,NA,0
0,0,0,0,1,4.5,18,5,18,NA,23,0,1,1,0,0,0,2.809999942779541,2.7200000286102295,0
0,0,0,0,1,4.75,18,4.5,18,21,24.5,0,1,1,0,0,0,2.7200000286102295,2.6599998474121094,0
0,0,0,0,1,4.869999885559082,18,5,18,15.5,27.5,0,1,1,0,0,0,NA,2.5399999618530273,0
0,0,0,0,1,4.75,16.5,4.75,18,15.5,34.5,0,1,1,0,0,0,2.630000114440918,2.6100001335144043,0
1,0,0,0,1,4.5,10,5,11,8.5,14,0,1,0,1,0,0,4.199999809265137,4.309999942779541,0
1,0,0,0,1,4.25,16,4.349999904632568,15,18,15,0,1,0,0,1,0,2.8899998664855957,2.9099998474121094,0
0,0,0,0,1,4.75,11.5,NA,11.5,20.75,23,0,1,0,0,0,1,2.680000066757202,NA,0
0,0,0,0,1,4.25,18,4.25,18,39,26.5,0,1,1,0,0,0,2.7200000286102295,2.740000009536743,0
0,0,0,0,1,4.25,16.5,4.900000095367432,17,41.5,23.5,0,1,1,0,0,0,2.930000066757202,2.7100000381469727,0
0,0,0,0,1,4.75,17,4.5,17,22.5,35.5,0,1,1,0,0,0,2.7200000286102295,2.6700000762939453,0
0,0,0,0,1,4.5,15,4.5,15,32,21,0,1,1,0,0,0,2.809999942779541,2.859999895095825,0
0,0,0,1,0,4.25,18,4.75,18,24,23,0,1,1,0,0,0,2.6500000953674316,2.9800000190734863,0
0,0,0,0,1,4.25,16.5,6.25,17,26,20,0,1,1,0,0,0,2.740000009536743,2.690000057220459,0
0,0,0,1,0,4.5,19,4.349999904632568,18,48.5,27,0,1,1,0,0,0,2.740000009536743,2.799999952316284,0
1,0,0,0,1,4.5,10,4.5,11,8.5,13,0,1,0,1,0,0,4.019999980926514,4.059999942779541,0
0,0,0,0,1,4.5,13,NA,NA,18.5,0,0,1,0,0,1,0,2.9099998474121094,NA,1
1,0,0,0,1,4.5,12.5,4.5,12.5,13,13.5,0,1,0,0,1,0,3.0999999046325684,3.2699999809265137,0
1,0,0,0,1,4.5,12,NA,12,22.5,NA,0,1,0,0,0,1,2.5899999141693115,2.700000047683716,0
1,0,0,0,1,4.75,12,5,12,28,26.75,0,1,0,0,0,1,2.5999999046325684,2.7200000286102295,0
0,0,0,0,1,4.25,16.5,4.75,18,24.5,43.5,0,1,1,0,0,0,2.619999885559082,2.8499999046325684,0
0,0,0,0,1,4.75,16.5,4.5,18,18.5,41.25,0,1,1,0,0,0,2.7200000286102295,2.809999942779541,0
1,0,0,0,1,4.25,16,NA,15,23.5,14.25,0,1,0,0,1,0,3.009999990463257,NA,0
1,0,0,0,1,4.75,16.5,4.75,15,15,12.5,0,1,0,0,1,0,2.9700000286102295,2.9099998474121094,0
0,0,0,0,1,4.5,16,4.25,16,18,34,0,1,0,0,1,0,2.7799999713897705,2.9499998092651367,0
1,0,0,0,1,4.75,16,4.909999847412109,14,20.25,10,0,1,0,0,1,0,3.009999990463257,2.8499999046325684,0
0,0,0,1,0,4.25,16.5,4.400000095367432,16,15.5,14,0,1,1,0,0,0,NA,2.1399998664855957,0
0,0,0,1,0,4.349999904632568,16,4.25,16,21,17.5,0,1,1,0,0,0,2.809999942779541,2.690000057220459,0
0,0,1,0,0,NA,16,5.050000190734863,16,15,27,1,0,1,0,0,0,3.009999990463257,2.929999828338623,0
0,0,1,0,0,NA,14.5,5.050000190734863,14,15,21.5,1,0,1,0,0,0,3.0199999809265137,2.990000009536743,0
0,0,1,0,0,NA,12.5,5.050000190734863,11.5,24,23,1,0,0,0,1,0,NA,3.2699999809265137,0
1,0,0,0,0,NA,11.5,5.050000190734863,11.5,19.25,21.5,1,0,0,0,1,0,3.25,3.1600000858306885,0
0,0,0,0,0,NA,17,5.050000190734863,17,21.5,34.5,1,0,1,0,0,0,2.8399999141693115,2.9499998092651367,0
0,0,0,0,0,NA,11,5.050000190734863,11,9.5,10.5,1,0,0,1,0,0,4.039999961853027,4.340000152587891,0
0,0,0,0,0,NA,12,5.050000190734863,12,44,16.5,1,0,0,0,0,1,3.069999933242798,3.009999990463257,0
0,0,0,0,0,NA,16,5.050000190734863,16,NA,23,1,0,1,0,0,0,2.990000009536743,2.799999952316284,0
0,0,0,0,0,NA,17,5.050000190734863,18,21,38,1,0,1,0,0,0,3.2599997520446777,3.0999999046325684,0
0,1,0,0,0,NA,16,5.25,15,28,36,1,0,0,0,0,1,2.9800000190734863,2.9000000953674316,0
0,1,0,0,0,NA,14,NA,14,10,16,1,0,0,0,0,1,2.6500000953674316,3.9600000381469727,0
0,0,0,0,0,NA,16,5.050000190734863,16,20.5,20.5,1,0,1,0,0,0,2.9600000381469727,2.929999828338623,0
1,0,0,0,0,NA,17,5.050000190734863,18,25.5,19,1,0,0,0,1,0,NA,3.2100000381469727,0
0,0,0,0,0,NA,11.5,5.050000190734863,11.5,19,53,1,0,0,0,0,1,2.880000114440918,3.009999990463257,0
0,1,0,0,0,NA,16,5.050000190734863,16,16.5,16.5,1,0,1,0,0,0,2.7300000190734863,2.759999990463257,0
1,1,0,0,0,NA,17,5.050000190734863,17,17,16.5,1,0,1,0,0,0,2.9000000953674316,2.929999828338623,0
1,0,0,0,0,NA,19,5.050000190734863,18.5,27.5,45,1,0,1,0,0,0,3.1500000953674316,3.1499998569488525,0
1,0,1,0,0,5,7,5.050000190734863,8,5,8,1,0,0,0,1,0,4.71999979019165,4.349999904632568,0
0,0,1,0,0,5.119999885559082,11,5.050000190734863,11,16,15.5,1,0,0,1,0,0,4.400000095367432,4.589999675750732,0
0,0,0,0,0,5.559999942779541,16,5.050000190734863,16,41.5,24,1,0,1,0,0,0,2.950000047683716,2.8899998664855957,0
1,0,1,0,0,5,10,5.050000190734863,10,13,7.5,1,0,0,1,0,0,4.25,4.420000076293945,0
0,0,0,0,0,5,10,5.050000190734863,10,10,7.5,1,0,0,1,0,0,4.649999618530273,4.550000190734863,0
0,0,1,0,0,5.25,11,5.050000190734863,12.5,15,18.5,1,0,0,1,0,0,4.649999618530273,4.690000057220459,0
0,0,0,0,0,5,17,5.050000190734863,17,26,16.5,1,0,0,0,1,0,3.0399999618530273,3.2199997901916504,0
0,0,1,0,0,5.5,13,5.050000190734863,12.5,18,33.5,1,0,0,0,0,1,4.5,3.0299999713897705,0
0,0,0,0,0,5,19,5.050000190734863,19,35,37,1,0,0,0,1,0,3.4200000762939453,3.169999837875366,0
1,0,0,0,0,5,17,5.050000190734863,16,21,18,1,0,0,0,1,0,3.1599998474121094,3.1700000762939453,0
0,0,0,0,0,5,12,5.050000190734863,11.5,34.5,26.5,1,0,0,0,0,1,3.0999999046325684,4.159999847412109,0
0,0,0,0,0,5,13.5,5.050000190734863,13.5,18.25,33,1,0,0,0,0,1,3.1499998569488525,3.1399998664855957,0
0,0,0,0,0,5,13.5,5.050000190734863,14,24.5,NA,1,0,0,0,0,1,4.170000076293945,2.990000009536743,0
0,0,1,0,0,5.5,12.5,5.050000190734863,12.5,20,20.5,1,0,1,0,0,0,3.1599998474121094,3.1700000762939453,0
1,0,1,0,0,5,16,5.5,16,16,24.5,1,0,1,0,0,0,3.0799999237060547,3.1700000762939453,0
0,0,1,0,0,5,10,5.050000190734863,10,17.5,16,1,0,0,1,0,0,4.420000076293945,4.369999885559082,0
0,0,0,0,0,5,11.5,5.050000190734863,12.5,20.5,NA,1,0,0,0,0,1,2.7100000381469727,3.1499998569488525,0
0,0,0,0,0,5,14,5.050000190734863,12.5,20,23.5,1,0,0,0,0,1,3.0999999046325684,4.269999980926514,0
1,0,1,0,0,5,11,5.050000190734863,11,12.25,13,1,0,0,1,0,0,4.25,4.159999847412109,0
0,0,1,0,0,5.25,16,5.050000190734863,16,33,20,1,0,0,0,1,0,2.8400001525878906,3,0
0,0,1,0,0,5.5,17,5.050000190734863,15,31.5,22,1,0,0,0,1,0,3.179999828338623,3.2100000381469727,0
0,0,1,0,0,5.5,12.5,5.5,12,NA,28.5,1,0,0,0,0,1,2.9600000381469727,NA,0
0,0,1,0,0,5.369999885559082,11.5,NA,NA,18,NA,1,0,0,0,0,1,2.9600000381469727,NA,0
0,0,1,0,0,5.050000190734863,12.5,5.050000190734863,12.5,28,25.5,1,0,0,0,0,1,2.819999933242798,3.1399998664855957,0
0,0,0,0,0,5,16,5.28000020980835,16,16.5,18,1,0,1,0,0,0,2.9600000381469727,2.9600000381469727,0
0,0,0,0,0,5.119999885559082,14,5.25,14,14.75,9,1,0,1,0,0,0,2.9600000381469727,2.950000047683716,0
0,0,0,0,0,5.25,17,5.050000190734863,17,23.5,26.5,1,0,1,0,0,0,2.9600000381469727,2.929999828338623,0
0,0,0,0,0,5,15,NA,NA,10,0,1,0,1,0,0,0,2.940000057220459,NA,1
0,0,0,0,0,5.119999885559082,15,5.050000190734863,15,46.5,23.75,1,0,1,0,0,0,3.1399998664855957,3.0399999618530273,0
0,0,0,0,0,5,12,5.5,11,15.5,18,1,0,0,1,0,0,4.099999904632568,4.25,0
1,0,0,0,0,5,17,5.050000190734863,17,24.5,36,1,0,0,0,1,0,3.1999998092651367,3.2199997901916504,0
1,0,0,0,0,5,16.5,5.050000190734863,15,24,21,1,0,0,0,1,0,3.3299999237060547,NA,0
1,0,0,0,0,5,19,5.050000190734863,17,23,15.5,1,0,0,0,1,0,3.1999998092651367,3.2199997901916504,0
0,0,0,0,0,5,12.5,5.050000190734863,12.5,28,22.5,1,0,0,0,0,1,3.0099997520446777,3.0799999237060547,0
1,0,0,0,0,5,16,5.050000190734863,16,32.5,27,1,0,1,0,0,0,3.0799999237060547,3.2100000381469727,0
1,0,0,0,0,5,16,5.050000190734863,16,23,34,1,0,1,0,0,0,3.200000047683716,3.5799999237060547,0
0,0,0,0,0,5.619999885559082,15,5.050000190734863,15,17,16.75,1,0,0,0,1,0,3.2699999809265137,3.2199997901916504,0
1,0,0,0,0,5,16,5.050000190734863,15,30,26,1,0,0,0,1,0,3.1500000953674316,3.799999952316284,0
1,0,0,0,0,5,11.5,5.050000190734863,12.5,21.5,18,1,0,0,0,0,1,2.859999895095825,4.009999752044678,0
0,0,0,0,0,5,17,5.050000190734863,17,32,20.5,1,0,1,0,0,0,2.7699999809265137,2.9499998092651367,0
0,0,0,0,0,5,16,5.050000190734863,16,8,15,1,0,1,0,0,0,NA,2.629999876022339,0
1,0,0,0,0,5.099999904632568,17,5.050000190734863,17,35.5,25.5,1,0,0,0,1,0,3.2599997520446777,3.1500000953674316,0
0,0,0,0,0,5,16,5.050000190734863,16,31.5,NA,1,0,0,0,1,0,3.1999998092651367,3.25,0
1,0,0,0,0,5.25,17,5.050000190734863,16,33,20,1,0,0,0,1,0,3.179999828338623,3.2199997901916504,0
0,0,0,0,0,5.5,13.5,5.050000190734863,13,22,18,1,0,0,0,1,0,3.240000009536743,3.2699999809265137,0
0,1,0,0,0,5,14.5,5.050000190734863,14.5,23,26.5,1,0,1,0,0,0,2.7200000286102295,NA,0
1,1,0,0,0,5,15,5.050000190734863,15,23,23.25,1,0,1,0,0,0,2.7200000286102295,2.559999942779541,0
1,1,0,0,0,5,11,5.050000190734863,12,8.5,10.5,1,0,0,1,0,0,4.150000095367432,3.9099998474121094,0
1,1,0,0,0,5.050000190734863,11,5.25,12,12.5,12,1,0,0,1,0,0,4.029999732971191,3.990000009536743,0
1,1,0,0,0,5.5,10,5.050000190734863,11,9.5,9.5,1,0,0,1,0,0,3.990000009536743,NA,0
1,1,0,0,0,5,10.5,5.050000190734863,12,13,15.5,1,0,0,1,0,0,3.880000114440918,4,0
1,0,0,0,0,5.300000190734863,16,5.050000190734863,16,17,14.5,1,0,1,0,0,0,3.0199999809265137,2.990000009536743,0
1,0,0,0,0,5,11.5,5.050000190734863,11.5,9,14,1,0,0,1,0,0,4.25,4.210000038146973,0
1,0,0,0,0,5,10.5,5.050000190734863,10.5,19,6.5,1,0,0,1,0,0,4.25,4.099999904632568,0
0,1,0,0,0,5,12,5.050000190734863,11,11.5,10,1,0,0,1,0,0,4.369999885559082,4.320000171661377,0
0,1,0,0,0,5,12.5,5.050000190734863,12,13,11.5,1,0,0,1,0,0,4.420000076293945,4.320000171661377,0
0,1,0,0,0,5.25,24,5.050000190734863,24,48,46.5,1,0,0,0,1,0,NA,3.319999933242798,0
1,1,0,0,0,5.150000095367432,24,5.050000190734863,24,45.5,26.5,1,0,0,0,1,0,NA,NA,0
0,1,0,0,0,5.420000076293945,15.5,5.670000076293945,14.5,15,16,1,0,0,0,0,1,2.819999933242798,2.990000009536743,0
0,1,0,0,0,5,12.5,5.050000190734863,12.5,18,13,1,0,1,0,0,0,2.7300000190734863,2.6500000953674316,0
1,1,0,0,0,5,16,5.050000190734863,15,21,14,1,0,0,0,1,0,2.9800000190734863,2.9600000381469727,0
0,1,0,0,0,5.059999942779541,10.5,5.050000190734863,10.5,20.5,15.5,1,0,0,0,0,1,2.759999990463257,2.7899999618530273,0
0,1,0,0,0,5.050000190734863,11.5,5.050000190734863,11.5,20.5,18,1,0,0,0,0,1,2.809999942779541,2.9000000953674316,0
0,0,0,0,0,5,11.5,5.25,12.5,17.5,27,1,0,0,0,0,1,2.759999990463257,4.190000057220459,0
0,0,0,0,0,5,16,5.25,16,27.5,27,1,0,1,0,0,0,3.0299999713897705,NA,0
1,0,0,0,0,5,15.5,5.050000190734863,15.5,24,29.5,1,0,1,0,0,0,2.990000009536743,3.059999942779541,0
0,0,0,0,0,5.25,15,5.5,15,34,16.5,1,0,1,0,0,0,NA,3,0
1,0,0,0,0,5,18.5,5.050000190734863,19,18,31.5,1,0,1,0,0,0,3.1600000858306885,3.069999933242798,0
0,0,0,0,0,5,16.5,5.050000190734863,16.5,24,27.5,1,0,1,0,0,0,3.5399999618530273,3.690000057220459,0
1,0,0,0,0,5.050000190734863,18,5.050000190734863,16,NA,25.5,1,0,0,0,1,0,3.2699999809265137,3.2199997901916504,0
1,0,0,0,0,5,11.5,5.5,12.5,33.5,32,1,0,0,0,0,1,NA,3.7699999809265137,0
1,0,0,0,0,5.75,10.5,5.5,10.5,12,14.5,1,0,0,0,0,1,3.7199997901916504,4.529999732971191,0
0,0,0,0,0,5,15,5.050000190734863,15,35,10.5,1,0,1,0,0,0,3.009999990463257,3.1399998664855957,0
0,0,1,0,0,4.5,16,5.050000190734863,16,35,44,1,0,1,0,0,0,2.6100001335144043,2.740000009536743,0
0,0,1,0,0,4.75,14,5.25,15,16,15.5,1,0,1,0,0,0,2.929999828338623,3,0
0,0,1,0,0,4.25,10,5.050000190734863,11,15.5,10.5,1,0,0,1,0,0,5.099999904632568,4.739999771118164,0
0,0,1,0,0,4.75,12.5,5.050000190734863,13.5,19,24,1,0,0,0,1,0,4.190000057220459,3.4800000190734863,0
0,0,1,0,0,4.5,17,5.150000095367432,17,24,29,1,0,0,0,1,0,NA,2.929999828338623,0
0,0,1,0,0,4.800000190734863,12,5.050000190734863,13,NA,30.5,1,0,0,0,0,1,4.210000038146973,2.9600000381469727,0
0,0,1,0,0,4.369999885559082,16,5.050000190734863,16,36,20,1,0,1,0,0,0,2.559999942779541,3.0399999618530273,0
0,0,1,0,0,4.25,16,5.050000190734863,16,29,26.5,1,0,1,0,0,0,2.740000009536743,2.75,0
0,0,1,0,0,4.25,16,5.050000190734863,16,29,27,1,0,1,0,0,0,2.890000104904175,2.859999895095825,0
0,0,1,0,0,4.369999885559082,16,5.050000190734863,16,21.25,26.5,1,0,1,0,0,0,2.75,2.869999885559082,0
0,0,1,0,0,4.5,10,5,11,15.5,10.5,1,0,0,1,0,0,4.670000076293945,4.699999809265137,0
0,0,1,0,0,4.599999904632568,17,5.050000190734863,17,19.5,18,1,0,0,0,1,0,2.950000047683716,4.059999942779541,0
0,0,1,0,0,4.5,17,5.050000190734863,17,21,18.5,1,0,0,0,1,0,NA,3,0
0,0,1,0,0,4.369999885559082,17,5.050000190734863,17,14,25.5,1,0,0,0,1,0,4.079999923706055,2.940000057220459,0
0,0,1,0,0,4.25,17,5.050000190734863,17,30.5,32,1,0,0,0,1,0,NA,2.679999828338623,0
0,1,0,0,0,4.25,16,5.050000190734863,16,23.5,33,1,0,1,0,0,0,2.8899998664855957,2.9200000762939453,0
0,1,0,0,0,4.449999809265137,10.5,5.050000190734863,10,14,7.5,1,0,0,1,0,0,3.990000009536743,4.309999942779541,0
0,1,0,0,0,4.349999904632568,16,5.050000190734863,15,14.5,12.5,1,0,0,0,1,0,2.8499999046325684,3.0399999618530273,0
0,0,0,0,0,4.5,16,5.050000190734863,16.5,15.5,24,1,0,1,0,0,0,2.9600000381469727,2.929999828338623,0
0,0,1,0,0,4.75,16,5.050000190734863,NA,26.5,29,1,0,1,0,0,0,3.0199999809265137,2.990000009536743,0
0,0,0,0,0,4.5,10,NA,10,8,10,1,0,0,1,0,0,4.789999961853027,NA,0
0,0,0,0,0,4.5,11,5.050000190734863,11,5.5,9.5,1,0,0,1,0,0,4.630000114440918,4.739999771118164,0
0,0,0,0,0,4.5,11.5,5.050000190734863,11.5,23.25,17.5,1,0,0,0,1,0,3.1999998092651367,4.610000133514404,0
1,0,0,0,0,4.949999809265137,11.5,5.050000190734863,11.5,15.5,17.5,1,0,0,0,1,0,3.1999998092651367,3.059999942779541,0
0,0,0,0,0,4.5,11.5,5.050000190734863,11.5,32.25,25,1,0,0,0,0,1,4.039999961853027,NA,0
0,0,1,0,0,4.25,17,5.050000190734863,17.5,30,26,1,0,1,0,0,0,2.9800000190734863,2.559999942779541,0
1,0,0,0,0,4.25,18,5.050000190734863,18,NA,24,1,0,1,0,0,0,3.240000009536743,3.2100000381469727,0
0,0,0,0,0,4.5,16,5.050000190734863,16,30.5,22.5,1,0,1,0,0,0,2.9600000381469727,2.9499998092651367,0
0,0,0,0,0,4.800000190734863,15.5,5.050000190734863,NA,14,NA,1,0,1,0,0,0,3.0199999809265137,NA,0
0,0,0,0,0,4.25,17,5.050000190734863,17,27,35,1,0,1,0,0,0,2.9600000381469727,2.9499998092651367,0
0,0,0,0,0,4.5,13.5,5.050000190734863,13.5,18.5,17.75,1,0,1,0,0,0,3.3999998569488525,3.5900001525878906,0
0,0,0,0,0,4.25,17,5.050000190734863,17,38,24.5,1,0,1,0,0,0,3.1100001335144043,2.9499998092651367,0
0,0,0,0,0,4.25,18,5.050000190734863,18,16.5,16.5,1,0,1,0,0,0,3.069999933242798,3.2699999809265137,0
0,0,0,0,0,4.5,16,5.050000190734863,16,50,30,1,0,1,0,0,0,3.0299999713897705,3.009999990463257,0
0,0,0,0,0,4.75,17,5.050000190734863,17,20.5,39,1,0,1,0,0,0,2.9600000381469727,2.9499998092651367,0
0,0,0,0,0,4.25,12,5.050000190734863,11,6.5,17,1,0,0,1,0,0,4.569999694824219,4.529999732971191,0
0,0,0,0,0,4.25,11,5.050000190734863,11,13.5,12.5,1,0,0,1,0,0,5.210000038146973,5.069999694824219,0
1,0,0,0,0,4.25,17,5.050000190734863,16.5,28,38.5,1,0,0,0,1,0,3.1599998474121094,3.2199997901916504,0
1,0,0,0,0,4.5,17,5.050000190734863,16,21.5,20,1,0,0,0,1,0,3.25,3.2199997901916504,0
0,0,0,0,0,4.25,11.5,5.050000190734863,12.5,NA,21,1,0,0,0,0,1,3.0999999046325684,3.0900001525878906,0
0,0,1,0,0,4.5,16,5.050000190734863,16,24,32,1,0,1,0,0,0,2.799999952316284,2.8899998664855957,0
0,0,1,0,0,4.25,15,5.050000190734863,15,20.5,19,1,0,1,0,0,0,3.0999999046325684,3.1399998664855957,0
0,0,1,0,0,4.5,15,5.050000190734863,15,NA,20,1,0,1,0,0,0,2.940000057220459,3.0299999713897705,0
0,1,0,0,0,4.25,15,5.050000190734863,15,23.5,26.5,1,0,1,0,0,0,2.8399999141693115,2.859999895095825,0
1,0,1,0,0,4.25,17,5.050000190734863,17,23,19,1,0,1,0,0,0,3.059999942779541,3.2100000381469727,0
1,0,1,0,0,4.25,15,5.050000190734863,15,17,20,1,0,1,0,0,0,3.069999933242798,3.1700000762939453,0
1,0,0,0,0,4.25,16,5.050000190734863,16,20.5,22.5,1,0,1,0,0,0,NA,3.2100000381469727,0
0,0,1,0,0,4.25,10,5.050000190734863,10,23.5,10,1,0,0,1,0,0,4.420000076293945,4.329999923706055,0
0,0,0,0,0,4.25,10,5.050000190734863,10.5,9.5,12.5,1,0,0,1,0,0,4.730000019073486,4.579999923706055,0
0,0,1,0,0,4.25,10,5.050000190734863,10,10,11,1,0,0,1,0,0,4.329999923706055,4.389999866485596,0
0,0,1,0,0,4.25,10,5.050000190734863,10,14,12.5,1,0,0,1,0,0,4.420000076293945,4.480000019073486,0
1,0,1,0,0,4.75,24,5.050000190734863,24,85,59,1,0,0,0,1,0,NA,4.710000038146973,0
0,0,1,0,0,4.75,15,5.050000190734863,15,15,19,1,0,0,0,1,0,3.440000057220459,3.299999952316284,0
0,1,0,0,0,4.400000095367432,16,5.050000190734863,15,21.5,15.5,1,0,0,0,1,0,3.0399999618530273,3.130000114440918,0
0,0,1,0,0,4.619999885559082,11.5,5.050000190734863,12.5,53,19,1,0,0,0,0,1,2.7300000190734863,2.7799999713897705,0
0,0,0,0,0,4.25,16.5,5.050000190734863,16.5,24,26.5,1,0,1,0,0,0,2.990000009536743,3.1999998092651367,0
0,0,0,0,0,4.25,16,5.050000190734863,16,20.5,17.5,1,0,1,0,0,0,2.9600000381469727,2.9499998092651367,0
1,0,0,0,0,4.25,14.5,5.050000190734863,14,14.5,20.5,1,0,1,0,0,0,3.069999933242798,NA,0
