state,year,deaths,births,death.rate,state.abb,Implemented
Florida,2016,1382,225022,6.14,FL,
Florida,2017,1364,223630,6.1,FL,
Florida,2018,1339,221542,6.04,FL,
Florida,2019,1342,220002,6.1,FL,
Florida,2020,1217,209671,5.8,FL,
Florida,2021,1275,216260,5.9,FL,
Florida,2022,1342,224433,5.98,FL,
Georgia,2009,1036,141377,7.33,GA,
Georgia,2010,849,133947,6.34,GA,
Georgia,2011,908,132409,6.86,GA,
Georgia,2012,812,130280,6.23,GA,
Georgia,2013,899,128748,6.98,GA,
Georgia,2014,985,130946,7.52,GA,
Georgia,2015,1024,131404,7.79,GA,
Georgia,2016,972,130042,7.47,GA,
Georgia,2017,928,129243,7.18,GA,
Georgia,2018,889,126172,7.05,GA,
Georgia,2019,887,126371,7.02,GA,
Georgia,2020,769,122473,6.28,GA,
Georgia,2021,776,124073,6.25,GA,
Georgia,2022,893,126130,7.08,GA,
Hawaii,2009,112,18887,5.93,HI,2014
Hawaii,2010,118,18988,6.21,HI,2014
Hawaii,2011,100,18956,5.28,HI,2014
Hawaii,2012,92,18980,4.85,HI,2014
Hawaii,2013,121,18987,6.37,HI,2014
Hawaii,2014,83,18550,4.47,HI,2014
Hawaii,2015,104,18420,5.65,HI,2014
Hawaii,2016,109,18059,6.04,HI,2014
Hawaii,2017,95,17517,5.42,HI,2014
Hawaii,2018,115,16972,6.78,HI,2014
Hawaii,2019,86,16797,5.12,HI,2014
Hawaii,2020,77,15785,4.88,HI,2014
Hawaii,2021,73,15620,4.67,HI,2014
Hawaii,2022,90,15535,5.79,HI,2014
Idaho,2009,130,23737,5.48,ID,2020
Idaho,2010,111,23198,4.78,ID,2020
Idaho,2011,113,22305,5.07,ID,2020
Idaho,2012,125,22963,5.44,ID,2020
Idaho,2013,126,22383,5.63,ID,2020
Idaho,2014,122,22876,5.33,ID,2020
Idaho,2015,107,22827,4.69,ID,2020
Idaho,2016,131,22482,5.83,ID,2020
Idaho,2017,101,22181,4.55,ID,2020
Idaho,2018,108,21403,5.05,ID,2020
Idaho,2019,95,22063,4.31,ID,2020
Idaho,2020,109,21533,5.06,ID,2020
Idaho,2021,115,22427,5.13,ID,2020
Idaho,2022,118,22391,5.27,ID,2020
Illinois,2009,1185,171163,6.92,IL,2014
Illinois,2010,1130,165200,6.84,IL,2014
Illinois,2011,1058,161312,6.56,IL,2014
Illinois,2012,1036,159160,6.51,IL,2014
Illinois,2013,937,156931,5.97,IL,2014
Illinois,2014,1043,158556,6.58,IL,2014
Illinois,2015,948,158116,6,IL,2014
Illinois,2016,985,154445,6.38,IL,2014
Illinois,2017,915,149390,6.12,IL,2014
Illinois,2018,949,144815,6.55,IL,2014
Illinois,2019,794,140128,5.67,IL,2014
Illinois,2020,733,133298,5.5,IL,2014
Illinois,2021,743,132189,5.62,IL,2014
Illinois,2022,718,128350,5.59,IL,2014
Indiana,2009,678,86673,7.82,IN,2015
Indiana,2010,640,83940,7.62,IN,2015
Indiana,2011,638,83701,7.62,IN,2015
Indiana,2012,558,83227,6.7,IN,2015
Indiana,2013,602,83102,7.24,IN,2015
Indiana,2014,595,84080,7.08,IN,2015
Indiana,2015,614,84040,7.31,IN,2015
Indiana,2016,614,83091,7.39,IN,2015
Indiana,2017,593,82170,7.22,IN,2015
Indiana,2018,549,81646,6.72,IN,2015
Indiana,2019,529,80859,6.54,IN,2015
Indiana,2020,531,78616,6.75,IN,2015
Indiana,2021,540,79946,6.75,IN,2015
Indiana,2022,570,79649,7.16,IN,2015
Iowa,2009,183,39701,4.61,IA,2014
Iowa,2010,188,38719,4.86,IA,2014
Iowa,2011,181,38214,4.74,IA,2014
Iowa,2012,206,38702,5.32,IA,2014
Iowa,2013,166,39094,4.25,IA,2014
Iowa,2014,189,39687,4.76,IA,2014
Iowa,2015,167,39482,4.23,IA,2014
Iowa,2016,235,39403,5.96,IA,2014
Iowa,2017,204,38430,5.31,IA,2014
Iowa,2018,188,37785,4.98,IA,2014
Iowa,2019,189,37649,5.02,IA,2014
Iowa,2020,160,36114,4.43,IA,2014
Iowa,2021,147,36835,3.99,IA,2014
Iowa,2022,190,36506,5.2,IA,2014
Kansas,2009,294,41396,7.1,KS,
Kansas,2010,252,40649,6.2,KS,
Kansas,2011,247,39642,6.23,KS,
Kansas,2012,254,40341,6.3,KS,
Kansas,2013,252,38839,6.49,KS,
Kansas,2014,243,39223,6.2,KS,
Kansas,2015,233,39154,5.95,KS,
Kansas,2016,228,38053,5.99,KS,
Kansas,2017,220,36519,6.02,KS,
Kansas,2018,231,36261,6.37,KS,
Kansas,2019,192,35395,5.42,KS,
Kansas,2020,227,34376,6.6,KS,
Kansas,2021,184,34705,5.3,KS,
Kansas,2022,200,34401,5.81,KS,
Kentucky,2009,393,57551,6.83,KY,2014
Kentucky,2010,380,55784,6.81,KY,2014
Kentucky,2011,356,55370,6.43,KY,2014
Kentucky,2012,401,55758,7.19,KY,2014
Kentucky,2013,356,55686,6.39,KY,2014
Kentucky,2014,400,56170,7.12,KY,2014
Kentucky,2015,375,55971,6.7,KY,2014
Kentucky,2016,376,55449,6.78,KY,2014
Kentucky,2017,361,54752,6.59,KY,2014
Kentucky,2018,326,53922,6.05,KY,2014
Kentucky,2019,260,53069,4.9,KY,2014
Kentucky,2020,332,51668,6.43,KY,2014
Kentucky,2021,321,52214,6.15,KY,2014
Kentucky,2022,302,52315,5.77,KY,2014
Louisiana,2009,573,64973,8.82,LA,2016
Louisiana,2010,471,62379,7.55,LA,2016
Louisiana,2011,509,61888,8.22,LA,2016
Louisiana,2012,509,62642,8.13,LA,2016
Louisiana,2013,549,63201,8.69,LA,2016
Louisiana,2014,485,64497,7.52,LA,2016
Louisiana,2015,489,64692,7.56,LA,2016
Louisiana,2016,504,63178,7.98,LA,2016
Louisiana,2017,431,61018,7.06,LA,2016
Louisiana,2018,456,59615,7.65,LA,2016
Louisiana,2019,470,58941,7.97,LA,2016
Louisiana,2020,435,57328,7.59,LA,2016
Louisiana,2021,416,57437,7.24,LA,2016
Louisiana,2022,416,56479,7.37,LA,2016
Maine,2009,77,13470,5.72,ME,2019
Maine,2010,70,12970,5.4,ME,2019
Maine,2011,85,12704,6.69,ME,2019
Maine,2012,89,12798,6.95,ME,2019
Maine,2013,91,12776,7.12,ME,2019
Maine,2014,84,12698,6.62,ME,2019
Maine,2015,83,12607,6.58,ME,2019
Maine,2016,73,12705,5.75,ME,2019
Maine,2017,72,12298,5.85,ME,2019
Maine,2018,68,12311,5.52,ME,2019
Maine,2019,64,11779,5.43,ME,2019
Maine,2020,73,11539,6.33,ME,2019
Maine,2021,60,12006,5,ME,2019
Maine,2022,77,12093,6.37,ME,2019
Maryland,2009,542,75059,7.22,MD,2014
Maryland,2010,504,73801,6.83,MD,2014
Maryland,2011,498,73093,6.81,MD,2014
Maryland,2012,463,72883,6.35,MD,2014
Maryland,2013,477,71953,6.63,MD,2014
Maryland,2014,480,73921,6.49,MD,2014
Maryland,2015,485,73616,6.59,MD,2014
Maryland,2016,478,73136,6.54,MD,2014
Maryland,2017,461,71641,6.43,MD,2014
Maryland,2018,428,71080,6.02,MD,2014
Maryland,2019,410,70178,5.84,MD,2014
Maryland,2020,393,68554,5.73,MD,2014
Maryland,2021,409,68285,5.99,MD,2014
Maryland,2022,415,68782,6.03,MD,2014
Massachusetts,2009,382,75016,5.09,MA,2014
Massachusetts,2010,320,72865,4.39,MA,2014
Massachusetts,2011,311,73166,4.25,MA,2014
Massachusetts,2012,305,72439,4.21,MA,2014
Massachusetts,2013,300,71788,4.18,MA,2014
Massachusetts,2014,311,71908,4.32,MA,2014
Massachusetts,2015,309,71492,4.32,MA,2014
Massachusetts,2016,281,71317,3.94,MA,2014
Massachusetts,2017,259,70702,3.66,MA,2014
Massachusetts,2018,289,69109,4.18,MA,2014
Massachusetts,2019,258,69117,3.73,MA,2014
Massachusetts,2020,262,66428,3.94,MA,2014
Massachusetts,2021,223,69137,3.23,MA,2014
Massachusetts,2022,228,68584,3.32,MA,2014
Michigan,2009,892,117294,7.6,MI,2014
Michigan,2010,816,114531,7.12,MI,2014
Michigan,2011,746,114008,6.54,MI,2014
Michigan,2012,784,113091,6.93,MI,2014
Michigan,2013,800,113489,7.05,MI,2014
Michigan,2014,739,114375,6.46,MI,2014
Michigan,2015,739,113312,6.52,MI,2014
Michigan,2016,727,113315,6.42,MI,2014
Michigan,2017,755,111426,6.78,MI,2014
Michigan,2018,684,110032,6.22,MI,2014
Michigan,2019,688,107886,6.38,MI,2014
Michigan,2020,708,104074,6.8,MI,2014
Michigan,2021,653,104980,6.22,MI,2014
Michigan,2022,657,102321,6.42,MI,2014
Minnesota,2009,324,70646,4.59,MN,2014
Minnesota,2010,312,68610,4.55,MN,2014
Minnesota,2011,325,68409,4.75,MN,2014
Minnesota,2012,345,68772,5.02,MN,2014
Minnesota,2013,352,69159,5.09,MN,2014
Minnesota,2014,350,69904,5.01,MN,2014
Minnesota,2015,361,69834,5.17,MN,2014
Minnesota,2016,358,69749,5.13,MN,2014
Minnesota,2017,329,68595,4.8,MN,2014
Minnesota,2018,341,67344,5.06,MN,2014
Minnesota,2019,299,66027,4.53,MN,2014
Minnesota,2020,262,63443,4.13,MN,2014
Minnesota,2021,311,64425,4.83,MN,2014
Minnesota,2022,288,64015,4.5,MN,2014
Mississippi,2009,433,42901,10.09,MS,
Mississippi,2010,385,40036,9.62,MS,
Mississippi,2011,368,39860,9.23,MS,
Mississippi,2012,344,38669,8.9,MS,
Mississippi,2013,371,38634,9.6,MS,
Mississippi,2014,317,38736,8.18,MS,
Mississippi,2015,363,38394,9.45,MS,
Mississippi,2016,329,37928,8.67,MS,
Mississippi,2017,326,37357,8.73,MS,
Mississippi,2018,311,37000,8.41,MS,
Mississippi,2019,319,36636,8.71,MS,
Mississippi,2020,288,35473,8.12,MS,
Mississippi,2021,330,35156,9.39,MS,
Mississippi,2022,316,34675,9.11,MS,
Missouri,2009,558,78905,7.07,MO,2021
Missouri,2010,505,76759,6.58,MO,2021
Missouri,2011,482,76117,6.33,MO,2021
Missouri,2012,498,75446,6.6,MO,2021
Missouri,2013,491,75296,6.52,MO,2021
Missouri,2014,461,75360,6.12,MO,2021
Missouri,2015,487,75061,6.49,MO,2021
Missouri,2016,492,74705,6.59,MO,2021
Missouri,2017,457,73034,6.26,MO,2021
Missouri,2018,465,73269,6.35,MO,2021
Missouri,2019,443,72127,6.14,MO,2021
Missouri,2020,408,69285,5.89,MO,2021
Missouri,2021,406,69453,5.85,MO,2021
Missouri,2022,467,68985,6.77,MO,2021
Montana,2009,76,12257,6.2,MT,2016
Montana,2010,72,12060,5.97,MT,2016
Montana,2011,72,12069,5.97,MT,2016
Montana,2012,72,12118,5.94,MT,2016
Montana,2013,69,12377,5.57,MT,2016
Montana,2014,72,12432,5.79,MT,2016
Montana,2015,73,12583,5.8,MT,2016
Montana,2016,71,12282,5.78,MT,2016
Montana,2017,65,11799,5.51,MT,2016
Montana,2018,55,11513,4.78,MT,2016
Montana,2019,53,11079,4.78,MT,2016
Montana,2020,54,10791,5,MT,2016
Montana,2021,55,11231,4.9,MT,2016
Montana,2022,52,11175,4.65,MT,2016
Nebraska,2009,145,26936,5.38,NE,2020
Nebraska,2010,136,25918,5.25,NE,2020
Nebraska,2011,144,25720,5.6,NE,2020
Nebraska,2012,121,25942,4.66,NE,2020
Nebraska,2013,136,26095,5.21,NE,2020
Nebraska,2014,136,26794,5.08,NE,2020
Nebraska,2015,152,26679,5.7,NE,2020
Nebraska,2016,161,26589,6.06,NE,2020
Nebraska,2017,143,25821,5.54,NE,2020
Nebraska,2018,147,25488,5.77,NE,2020
Nebraska,2019,122,24755,4.93,NE,2020
Nebraska,2020,138,24291,5.68,NE,2020
Nebraska,2021,135,24609,5.49,NE,2020
Nebraska,2022,142,24345,5.83,NE,2020
Nevada,2009,219,37612,5.82,NV,2014
Nevada,2010,198,35934,5.51,NV,2014
Nevada,2011,201,35296,5.69,NV,2014
Nevada,2012,172,34911,4.93,NV,2014
Nevada,2013,186,35030,5.31,NV,2014
Nevada,2014,198,35861,5.52,NV,2014
Nevada,2015,188,36298,5.18,NV,2014
Nevada,2016,209,36260,5.76,NV,2014
Nevada,2017,209,35756,5.85,NV,2014
Nevada,2018,219,35682,6.14,NV,2014
Nevada,2019,199,35072,5.67,NV,2014
Nevada,2020,156,33653,4.64,NV,2014
Nevada,2021,194,33686,5.76,NV,2014
Nevada,2022,149,33193,4.49,NV,2014
New Hampshire,2009,66,13377,4.93,NH,2014
New Hampshire,2010,50,12874,3.88,NH,2014
New Hampshire,2011,58,12851,4.51,NH,2014
New Hampshire,2012,52,12352,4.21,NH,2014
New Hampshire,2013,69,12396,5.57,NH,2014
New Hampshire,2014,54,12302,4.39,NH,2014
New Hampshire,2015,51,12433,4.1,NH,2014
New Hampshire,2016,45,12267,3.67,NH,2014
New Hampshire,2017,51,12116,4.21,NH,2014
New Hampshire,2018,42,11995,3.5,NH,2014
New Hampshire,2019,38,11839,3.21,NH,2014
New Hampshire,2020,52,11791,4.41,NH,2014
New Hampshire,2021,50,12625,3.96,NH,2014
New Hampshire,2022,42,12077,3.48,NH,2014
New Jersey,2009,576,110331,5.22,NJ,2014
New Jersey,2010,513,106922,4.8,NJ,2014
New Jersey,2011,538,105883,5.08,NJ,2014
New Jersey,2012,463,104230,4.44,NJ,2014
New Jersey,2013,463,102575,4.51,NJ,2014
New Jersey,2014,454,103305,4.39,NJ,2014
New Jersey,2015,483,103127,4.68,NJ,2014
New Jersey,2016,414,102647,4.03,NJ,2014
New Jersey,2017,451,101250,4.45,NJ,2014
New Jersey,2018,385,101223,3.8,NJ,2014
New Jersey,2019,420,99585,4.22,NJ,2014
New Jersey,2020,392,97954,4,NJ,2014
New Jersey,2021,362,101497,3.57,NJ,2014
New Jersey,2022,367,102893,3.57,NJ,2014
New Mexico,2009,154,29000,5.31,NM,2014
New Mexico,2010,156,27850,5.6,NM,2014
New Mexico,2011,152,27289,5.57,NM,2014
New Mexico,2012,184,27068,6.8,NM,2014
New Mexico,2013,139,26354,5.27,NM,2014
New Mexico,2014,136,26052,5.22,NM,2014
New Mexico,2015,131,25816,5.07,NM,2014
New Mexico,2016,152,24692,6.16,NM,2014
New Mexico,2017,139,23767,5.85,NM,2014
New Mexico,2018,131,23039,5.69,NM,2014
New Mexico,2019,130,22960,5.66,NM,2014
New Mexico,2020,116,21903,5.3,NM,2014
New Mexico,2021,102,21391,4.77,NM,2014
New Mexico,2022,127,21614,5.88,NM,2014
New York,2009,1331,248110,5.36,NY,2014
New York,2010,1242,244375,5.08,NY,2014
New York,2011,1236,241312,5.12,NY,2014
New York,2012,1207,240916,5.01,NY,2014
New York,2013,1169,236980,4.93,NY,2014
New York,2014,1102,238773,4.62,NY,2014
New York,2015,1098,237274,4.63,NY,2014
New York,2016,1056,234283,4.51,NY,2014
New York,2017,1053,229737,4.58,NY,2014
New York,2018,979,226238,4.33,NY,2014
New York,2019,959,221539,4.33,NY,2014
New York,2020,855,209338,4.08,NY,2014
New York,2021,876,210742,4.16,NY,2014
New York,2022,885,207774,4.26,NY,2014
North Carolina,2009,1004,126845,7.92,NC,2023
North Carolina,2010,867,122350,7.09,NC,2023
North Carolina,2011,867,120389,7.2,NC,2023
North Carolina,2012,886,119831,7.39,NC,2023
North Carolina,2013,832,119002,6.99,NC,2023
North Carolina,2014,864,120975,7.14,NC,2023
North Carolina,2015,888,120843,7.35,NC,2023
North Carolina,2016,874,120779,7.24,NC,2023
North Carolina,2017,845,120125,7.03,NC,2023
North Carolina,2018,803,118954,6.75,NC,2023
North Carolina,2019,805,118725,6.78,NC,2023
North Carolina,2020,790,116730,6.77,NC,2023
North Carolina,2021,809,120466,6.72,NC,2023
North Carolina,2022,825,121562,6.79,NC,2023
North Dakota,2009,57,9001,6.33,ND,2014
North Dakota,2010,62,9104,6.81,ND,2014
North Dakota,2011,62,9527,6.51,ND,2014
North Dakota,2012,64,10106,6.33,ND,2014
North Dakota,2013,64,10599,6.04,ND,2014
North Dakota,2014,58,11359,5.11,ND,2014
North Dakota,2015,81,11314,7.16,ND,2014
North Dakota,2016,73,11383,6.41,ND,2014
North Dakota,2017,47,10737,4.38,ND,2014
North Dakota,2018,60,10636,5.64,ND,2014
North Dakota,2019,78,10454,7.46,ND,2014
North Dakota,2020,55,10059,5.47,ND,2014
North Dakota,2021,28,10112,2.77,ND,2014
North Dakota,2022,42,9567,4.39,ND,2014
Ohio,2009,1116,144841,7.71,OH,2014
Ohio,2010,1074,139128,7.72,OH,2014
Ohio,2011,1102,137918,7.99,OH,2014
Ohio,2012,1034,138483,7.47,OH,2014
Ohio,2013,1019,138936,7.33,OH,2014
Ohio,2014,959,139467,6.88,OH,2014
Ohio,2015,1000,139264,7.18,OH,2014
Ohio,2016,1026,138085,7.43,OH,2014
Ohio,2017,983,136832,7.18,OH,2014
Ohio,2018,938,135134,6.94,OH,2014
Ohio,2019,927,134461,6.89,OH,2014
Ohio,2020,865,129191,6.7,OH,2014
Ohio,2021,916,129791,7.06,OH,2014
Ohio,2022,912,128231,7.11,OH,2014
Oklahoma,2009,431,54553,7.9,OK,2021
Oklahoma,2010,399,53238,7.49,OK,2021
Oklahoma,2011,380,52272,7.27,OK,2021
Oklahoma,2012,397,52751,7.53,OK,2021
Oklahoma,2013,359,53369,6.73,OK,2021
Oklahoma,2014,438,53339,8.21,OK,2021
Oklahoma,2015,389,53122,7.32,OK,2021
Oklahoma,2016,393,52592,7.47,OK,2021
Oklahoma,2017,391,50214,7.79,OK,2021
Oklahoma,2018,353,49800,7.09,OK,2021
Oklahoma,2019,344,49143,7,OK,2021
Oklahoma,2020,281,47623,5.9,OK,2021
Oklahoma,2021,345,48410,7.13,OK,2021
Oklahoma,2022,333,48332,6.89,OK,2021
Oregon,2009,229,47132,4.86,OR,2014
Oregon,2010,226,45540,4.96,OR,2014
Oregon,2011,206,45155,4.56,OR,2014
Oregon,2012,241,45067,5.35,OR,2014
Oregon,2013,223,45155,4.94,OR,2014
Oregon,2014,232,45556,5.09,OR,2014
Oregon,2015,235,45655,5.15,OR,2014
Oregon,2016,214,45535,4.7,OR,2014
Oregon,2017,233,43631,5.34,OR,2014
Oregon,2018,178,42188,4.22,OR,2014
Oregon,2019,203,41858,4.85,OR,2014
Oregon,2020,168,39820,4.22,OR,2014
Oregon,2021,155,40914,3.79,OR,2014
Oregon,2022,177,39493,4.48,OR,2014
Pennsylvania,2009,1040,146434,7.1,PA,2015
Pennsylvania,2010,1036,143321,7.23,PA,2015
Pennsylvania,2011,929,143178,6.49,PA,2015
Pennsylvania,2012,1005,142514,7.05,PA,2015
Pennsylvania,2013,937,140921,6.65,PA,2015
Pennsylvania,2014,838,142268,5.89,PA,2015
Pennsylvania,2015,867,141047,6.15,PA,2015
Pennsylvania,2016,857,139409,6.15,PA,2015
Pennsylvania,2017,837,137745,6.08,PA,2015
Pennsylvania,2018,806,135673,5.94,PA,2015
Pennsylvania,2019,796,134230,5.93,PA,2015
Pennsylvania,2020,729,130693,5.58,PA,2015
Pennsylvania,2021,712,132622,5.37,PA,2015
Pennsylvania,2022,741,130252,5.69,PA,2015
Rhode Island,2009,67,11442,5.86,RI,2014
Rhode Island,2010,80,11177,7.16,RI,2014
Rhode Island,2011,70,10960,6.39,RI,2014
Rhode Island,2012,71,10926,6.5,RI,2014
Rhode Island,2013,70,10809,6.48,RI,2014
Rhode Island,2014,48,10823,4.43,RI,2014
Rhode Island,2015,65,10993,5.91,RI,2014
Rhode Island,2016,60,10798,5.56,RI,2014
Rhode Island,2017,66,10638,6.2,RI,2014
Rhode Island,2018,52,10506,4.95,RI,2014
Rhode Island,2019,60,10175,5.9,RI,2014
Rhode Island,2020,40,10101,3.96,RI,2014
Rhode Island,2021,45,10464,4.3,RI,2014
Rhode Island,2022,40,10269,3.9,RI,2014
South Carolina,2009,423,60620,6.98,SC,
South Carolina,2010,428,58342,7.34,SC,
South Carolina,2011,420,57393,7.32,SC,
South Carolina,2012,428,57155,7.49,SC,
South Carolina,2013,390,56795,6.87,SC,
South Carolina,2014,371,57627,6.44,SC,
South Carolina,2015,402,58139,6.91,SC,
South Carolina,2016,402,57342,7.01,SC,
South Carolina,2017,372,57029,6.52,SC,
South Carolina,2018,403,56669,7.11,SC,
South Carolina,2019,393,57038,6.89,SC,
South Carolina,2020,370,55704,6.64,SC,
South Carolina,2021,415,57185,7.26,SC,
South Carolina,2022,391,57820,6.76,SC,
South Dakota,2009,80,11934,6.7,SD,2023
South Dakota,2010,84,11811,7.11,SD,2023
South Dakota,2011,72,11846,6.08,SD,2023
South Dakota,2012,101,12104,8.34,SD,2023
South Dakota,2013,79,12248,6.45,SD,2023
South Dakota,2014,70,12283,5.7,SD,2023
South Dakota,2015,90,12336,7.3,SD,2023
South Dakota,2016,60,12275,4.89,SD,2023
South Dakota,2017,94,12134,7.75,SD,2023
South Dakota,2018,70,11893,5.89,SD,2023
South Dakota,2019,80,11449,6.99,SD,2023
South Dakota,2020,80,10960,7.3,SD,2023
South Dakota,2021,69,11369,6.07,SD,2023
South Dakota,2022,87,11201,7.77,SD,2023
Tennessee,2009,657,82211,7.99,TN,
Tennessee,2010,626,79495,7.87,TN,
Tennessee,2011,592,79588,7.44,TN,
Tennessee,2012,582,80371,7.24,TN,
Tennessee,2013,544,79992,6.8,TN,
Tennessee,2014,561,81602,6.87,TN,
Tennessee,2015,568,81685,6.95,TN,
Tennessee,2016,594,80807,7.35,TN,
Tennessee,2017,591,81016,7.29,TN,
Tennessee,2018,556,80751,6.89,TN,
Tennessee,2019,560,80450,6.96,TN,
Tennessee,2020,502,78689,6.38,TN,
Tennessee,2021,505,81717,6.18,TN,
Tennessee,2022,544,82265,6.61,TN,
Texas,2009,2403,401977,5.98,TX,
Texas,2010,2373,386118,6.15,TX,
Texas,2011,2135,377445,5.66,TX,
Texas,2012,2231,382727,5.83,TX,
Texas,2013,2255,387340,5.82,TX,
Texas,2014,2337,399766,5.85,TX,
Texas,2015,2305,403618,5.71,TX,
Texas,2016,2277,398047,5.72,TX,
Texas,2017,2236,382050,5.85,TX,
Texas,2018,2075,378624,5.48,TX,
Texas,2019,2069,377599,5.48,TX,
Texas,2020,1946,368190,5.29,TX,
Texas,2021,1977,373594,5.29,TX,
Texas,2022,2228,389741,5.72,TX,
